Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image,Status,Collection
aachar-masala,Aachar Masala,Dhanhar Vishesh,Achari Vichar,"achari-vichar, easy-to-cook, jain-friendly, pouch",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/99_800x800.png?v=1787884222,Aachar Masala Pouch pack,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/99_800x800.png?v=1787884222,active,Achari Vichar
aachar-masala,,,,,,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,55,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/99_800x800.png?v=1787884222,,
aachar-masala,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,110,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/99_800x800.png?v=1787884222,,
aachar-masala,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,270,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/99_800x800.png?v=1787884222,,
