Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image,Status,Collection
idli-sambar-masala,Idli-Sambar Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, pouch, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,39,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_147_800x800_ffb6c4dc-a992-4bd7-adc7-94fd39180878.png?v=1787912458,Idli-Sambar Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_147_800x800_ffb6c4dc-a992-4bd7-adc7-94fd39180878.png?v=1787912458,active,Premium Blended Spices
idli-sambar-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,77,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_147_800x800_ffb6c4dc-a992-4bd7-adc7-94fd39180878.png?v=1787912458,,
idli-sambar-masala,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,345,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/114_800x800_d9ec1ca0-5ebc-4284-843e-333677aac83c.png?v=1787885412,Idli-Sambar Masala 500g Pouch,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/114_800x800_d9ec1ca0-5ebc-4284-843e-333677aac83c.png?v=1787885412,,
idli-sambar-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_148_800x800_061f9bb0-b471-4a7a-90c4-470f519d12d3.png?v=1787912458,Idli-Sambar Masala Box back,,,
