Title,URL handle,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Option1 value,Option2 name,Option2 value,Price,Charge tax,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text
,green-label-compound-hing,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/104_800x800.png,2,Green Label Compound Hing back of pack
Red Label Compound Hing,red-label-compound-hing,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Asafoetida (Hing),"asafoetida-hing, hing-ka-tadka, pouch, jain-friendly",true,Active,Pack Size,500g,Pack Type,Pouch,255,true,500,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/105_800x800.png,1,Red Label Compound Hing product pack
,red-label-compound-hing,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/106_800x800.png,2,Red Label Compound Hing back of pack
Black Label Compound Hing,black-label-compound-hing,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Asafoetida (Hing),"asafoetida-hing, hing-ka-tadka, pouch",true,Active,Pack Size,500g,Pack Type,Pouch,470,true,500,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/107_800x800.png,1,Black Label Compound Hing product pack
,black-label-compound-hing,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/108_800x800.png,2,Black Label Compound Hing back of pack
Chevdo Masala,chevdo-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Rs.10/- Masala Products,"rs-10-masala-products, jhatpat-jugad, pouch, jain-friendly",true,Active,Pack Size,20g,Pack Type,Pouch,15,true,20,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/109_800x800.png,1,Chevdo Masala product pack
Premium Compound Hing Powder,premium-compound-hing-powder,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Asafoetida (Hing),"asafoetida-hing, hing-ka-tadka, pouch, jain-friendly",true,Active,Pack Size,100g,Pack Type,Pouch,120,true,100,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/111_800x800.png,1,Premium Compound Hing Powder product pack
,premium-compound-hing-powder,,,,,,,Pack Size,200g,Pack Type,Pouch,240,true,200,g,true,manual,,,
,premium-compound-hing-powder,,,,,,,Pack Size,500g,Pack Type,Pouch,600,true,500,g,true,manual,,,
Idli-Sambar Masala,idli-sambar-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Premium Blended Spices,"premium-blended-spices, rozmarra-rasoi, box, pouch, jain-friendly",true,Active,Pack Size,100g,Pack Type,Box,100,true,100,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/114_800x800.png,1,Idli-Sambar Masala product pack
,idli-sambar-masala,,,,,,,Pack Size,500g,Pack Type,Pouch,450,true,500,g,true,manual,,,
Undiyu Masala,undiyu-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Premium Blended Spices,"premium-blended-spices, rozmarra-rasoi, box, jain-friendly",true,Active,Pack Size,50g,Pack Type,Box,50,true,50,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/115_800x800.png,1,Undiyu Masala product pack
Shingoda Atta,shingoda-atta,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Baking Ingredients > Flour",Upwas Products,"upwas-products, vrat-ki-thali, pouch, jain-friendly",true,Active,Pack Size,100g,Pack Type,Pouch,60,true,100,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/116_800x800.png,1,Shingoda Atta product pack
,shingoda-atta,,,,,,,Pack Size,500g,Pack Type,Pouch,270,true,500,g,true,manual,,,
